symbol,value,change,timestamp
AIRTEL,114.98,114.98,2026-02-10T11:33:32.878861
BHL,15.0,15.0,2026-02-10T11:33:32.878899
FDHB,595.11,594.89,2026-02-10T11:33:32.878924
FMBCH,2850.0,2850.0,2026-02-10T11:33:32.878948
ICON,15.97,15.97,2026-02-10T11:33:32.878970
ILLOVO,2680.08,2680.08,2026-02-10T11:33:32.878992
MPICO,19.45,19.45,2026-02-10T11:33:32.879013
NBM,11719.8,11719.7,2026-02-10T11:33:32.879035
NBS,891.44,891.38,2026-02-10T11:33:32.879056
NICO,1714.58,1712.99,2026-02-10T11:33:32.879078
NITL,3934.44,3934.44,2026-02-10T11:33:32.879099
OMU,3790.05,3790.05,2026-02-10T11:33:32.879121
PCL,7827.99,7827.99,2026-02-10T11:33:32.879142
STANDARD,4238.95,4238.95,2026-02-10T11:33:32.879163
SUNBIRD,1700.02,1700.02,2026-02-10T11:33:32.879185
TNM,31.25,31.25,2026-02-10T11:33:32.879206
