symbol,value,change,timestamp
AIRTEL,114.98,114.98,2026-02-10T11:33:12.354398
BHL,15.0,15.0,2026-02-10T11:33:12.354433
FDHB,595.11,594.89,2026-02-10T11:33:12.354457
FMBCH,2850.0,2850.0,2026-02-10T11:33:12.354479
ICON,15.97,15.97,2026-02-10T11:33:12.354501
ILLOVO,2680.08,2680.08,2026-02-10T11:33:12.354522
MPICO,19.45,19.45,2026-02-10T11:33:12.354544
NBM,11719.8,11719.7,2026-02-10T11:33:12.354564
NBS,891.44,891.38,2026-02-10T11:33:12.354585
NICO,1714.58,1712.99,2026-02-10T11:33:12.354606
NITL,3934.44,3934.44,2026-02-10T11:33:12.354627
OMU,3790.05,3790.05,2026-02-10T11:33:12.354648
PCL,7827.99,7827.99,2026-02-10T11:33:12.354670
STANDARD,4238.95,4238.95,2026-02-10T11:33:12.354694
SUNBIRD,1700.02,1700.02,2026-02-10T11:33:12.354715
TNM,31.25,31.25,2026-02-10T11:33:12.354737
